workerid,explanation,trial
1373,Jordan didn't let Avery pass,5
1373,MAdison took the right way,6
1373,Riley was lucky that Brook couldn't put the box in its way,7
1373,Hayden took the right path and Cedar helped by taking away the box,8
1373,He followed the right path and didn't have any obstacles,9
1373,Sloan took a right path and Bryce helped by clearing the way,10
1373,"London was not letting Max advance at a ""good pace""",11
1373,Brooklyn took a long path and couldn't make it ,12
1373,Chandler took the right path and even with Quinn moving the box Chandler was able to get to the star,13
1373,Angel took a too long way and didn't make it,14
1373,Kirby took a long path ,15
1373,Because Lake took away the box,16
1373,Because Kit put the box on River's way,17
1373,Skyler took the right way,18
1373,Taylor took the right path,19
1373,Addison took the wrong path,20
1373,Cat took the right path,21
1373,"At one point Emery took the wrong path and ""lost a turn"" because of that wasn't able to get to the star",22
1373,"Harley moved the box and that made Indigo ""miss"" a turn"" it had to go around and didn't get to the star on time",23
1373,Presley took the right path,24
1373,Because kit moved the box away,
1374,Noah didn't trust Alex would help him and wondered around,1
1374,Cameron removed the box,2
1374,Harper didn't take the path cleared by Whitney,3
1374,Hunter removed the block on logan's path,4
1374,Jordan blocked Avery's path,5
1374,Madison didn't take the path blocked by Darcy,6
1374,there was plenty of time for riley to reach the star,7
1374,Cedar cleared the box,8
1374,enough time; blake didn't block the path,9
1374,Bryce removed the box from the path,10
1374,Max wondered around and didn't take the shortest path,11
1374,Brooklyn didn't take the shortest path,12
1374,enough time even when path is blocked,13
1374,Angel wandered around and took a longer path,14
1374,Kirby didn't take the shortest path even when Flynn removed the box,15
1374,Lake removed the box,16
1374,River blocked Atlas's path,17
1374,skyler didn't take the path blocked by Rory,18
1374,Taylor took the unblocked path,19
1374,Addison took one of the shortest path but Sunny didn't remove the box,20
1374,Kris didn't block Cat's path,21
1374,Emery suspected Phoenix would block the path so Emery detoured,22
1374,indigo didn't succeed: Harley blocked its path,23
1374,Presley took the path which was not blocked,24
1378,"Noah was wondering around aimlessly, not following the directions of the game.",1
1378,Because Cameron pulled the box out of the way for Ari to pass and succeed.,2
1378,Harper took the wrong route,3
1378,Hunter helped pull the box out of the way and Hunter succeeded by reaching the star within the allotted amount of turns,4
1378,Avery didn't know the rules or wasn't thinking when he took the incorrect route to the star.,5
1378,Madison took the correct direct route to the Star within the allotted time.,6
1378,"Riley succeeded, Because he made it to the Star in time",7
1378,Cedar pulled the box out of the way for Hayden to succeed,8
1378,He took the correct route to the star in time.,9
1378,"Bryce and Sloan worked in Tamdem in order for Sloan to reach the star, though it wasn't nessecary. Sloan could have reached it without any help from Bryce, as well.",10
1378,Max was wondering around aimlessly not paying attention to the rules?,11
1378,"Brooklyn took the wrong route, lol.",12
1378,Because he made it to the Star in time.,13
1378,Angel wasn't using his brain and didn't take the direct route. lol,14
1378,Kirby took the wrong route. It was too long.,15
1378,Lake pulled the box out of the way for Morgan to reach the star in time for success.,16
1378,"Atlas didn't know the rules or purposely blocked him in, so he would fail. ",17
1378,"Skyler took the correct direct route to the 
Star",18
1378,Taylor took the correct direct route to the star,19
1378,"Sunny didn't pull the box out of the way and number two, addison didn't take the direct route, so both are at fault.",20
1378,Cat took the correct direct route to the Star in time.,21
1378,Emery was not trying or must not know the rules. He took a very wrong route.,22
1378,"Indigo did not succeed? He failed. But the question is asking why did he succeed? The reason he failed is because he wasn't following the rules. He took a route that made no sense, when it was a simple direct route.",23
1378,"Presley took the correct, direct route to the Star.",24
1380,Alex did not move the box until the time almost ran out and Noah failed.,1
1380,Cameron moved the box out of the way.,2
1380,Whitney blocked Harpers path and Harper ran out of time.,3
1380,Hunter moved the box out of the way.,4
1380,Jordon blocked Avery several times.,5
1380,Madison took the best path,6
1380,Riley took the best path,7
1380,Cedar moved the box out of the way.,8
1380,Robin picked the fastest path.,9
1380,Bryce pulled the box out of Sloan's way.,10
1380,max started too far from the star and could not make it in time.,11
1380,Brooklyn was too far from the star and could not make it in time.,12
1380,Quinn put the box in Chandler's way and Chandler took a different path and then Quinn pushed the box out of the way and Chandler took a clear path to the star.,13
1380,Angel started too far from the star and would not have been able to make it in time.,14
1380,kirby picked the wrong path and ran out of time.,15
1380,Lake pulled the box out of Morgan's path.,16
1380,Atlas blocked River and River did not have enough time to reach the star.,17
1380,Skyler chose the right path.,18
1380,there was no box in Taylors way. Taylor went past the row where the box was.,19
1380,Addison picked the wrong path and was blocked.,20
1380,Kris did not move in time and could not put the box in Cat's way.,21
1380,Emery backtracked and ran out of time.,22
1380,sasha moved out of the way.,24
1381,didn't trust alex,1
1381,Cameron opened path,2
1381,didn't trust whitney,3
1381,trusted hunter,4
1381,Jordan blocked,5
1381,correct path,6
1381,followed correct path,7
1381,trusted cedar,8
1381,trusted bryce,10
1381,wrong path,11
1381,follows wrong path,12
1381,trusted quinn,13
1381,did not trust sage wrong path,14
1381,ran out of time,15
1381,trusted lake,16
1381,atlas blocked,17
1381,correct path,18
1381,Taylor followed correct path,19
1381,sunny blocked,20
1381,correct path and Kris cooperated,21
1381,wrong path,22
1381,Harley blocked,23
1381,correct path,24
1382,"Noah failed because instead of waiting for Alex to move the box, he went around and ran out of time.",1
1382,Ari succeeded because Cameron moved the box that was blocking the path.,2
1382,Harper failed because he had to go around Whitney and ran out of time.,3
1382,Avery failed because Jordan blocked the path to the star by pushing the box in the way.,5
1382,"Madison succeeded because he reached the star in time.
",6
1382,Riley succeeded because he reached the star in time.,7
1382,Hayden succeeded because Cedar moved the box out of the way.,8
1382,Robin succeeded because she reached the star in time.,9
1382,Sloan succeeded because Bryce moved the box out of the way.,10
1382,"Max failed because London was in his way, so he had to go around and waste more time.",11
1382,Brooklyn failed because he ran out of time.,12
1382,Chandler succeeded because he reached the star in time.,13
1382,Angel failed because he couldn't reach the star in time.,14
1382,Kirby failed because he didn't wait for Flynn to move the box out of the way.,15
1382,Morgan succeeded because Lake moved the box out of the way.,16
1382,River failed because Atlas blocked the quickest path to the star.,17
1382,"Skyler succeeded because he reached the star in time.
",18
1382,Taylor succeeded because there was nothing blocking the quickest path to the star.,19
1382,Addison failed because Sunny didn't move the box out of the way.,20
1382,Cat succeeded because Kris did not block the path.,21
1382,Emery failed because he wasted time by rerouting for no reason in the beginning.,22
1382,Indigo failed because Harley blocked his path with a box.,23
1382,Presley succeeded because he got to the star in time.,24
1384,he had to move around to much causing him to run out of steps because he made it to the box first but had to wait for blue to pull it out of the way,1
1384,the blue player removed the box just barley in time for him to make it to the star he would not have been able to make it using any other path and that would require too many steps. blue player saved him here,2
1384,he didn't wait for blue to pull the box out of the way and instead went around which cause him to run out of steps,3
1384,blue moved the box out of the way and so red waited instead of going around leaving him enough steps to reach the star in time,4
1384,blue blocked red's path but if red had gone another route he could have made it to the star in time,5
1384,he went straight to the star and didn't make an unnecessary detours,7
1384,blue player removed the box out of his way,8
1384,he went straight to the star without making detours,9
1384,blue moved the box out of his way and he waited for the box to be moved out of the way,10
1384,he used too many steps trying to go the long way and he ran out of steps to reach the star,11
1384,he took the long route to the star and ran out of steps,12
1384,he went straight to the star and went around the box so blue didn't have an effect on his win here,13
1384,he took the long route and ran out of steps to take,14
1384,red went the long way and didnt have enough steps left to reach the star,15
1384,blue moved the box out of the way so red was able to reach the star,16
1384,the path river took was blocked by blue putting the square in his path when he got there so he couldn't reach the star time,17
1384,He made it straight to the star without making unnecessary turns and he made it to the star in time,18
1384,He went straight to the star without making detours,19
1384,blue didn't move the box out of the way so red couldn't reach the star,20
1384,red went straight to the star without making detours and blue chose to not block the path with the box,21
1384,he made an unnecessary step causing him to run out of turns if he hadn't of made that extra step he could have made it to the star in time,22
1384,he made an extra step going down instead of straight and that cause him to run out of steps,23
1384,He went straight to the star without making an unnecessary steps,24
1385,Because Noah moved away from the block rather than wait to see if Alex would clear the path,1
1385,Ari was able to succeed because they waited and Cameron cleared the shorter path.,2
1385,Harper failed by not waiting to see if Whitney would move the block to clear the shorter path to the star.,3
1385,Because Hunter moved the block to clear the path.,4
1385,Because Jordan moved the block into Avery's path and forcing them to go a different route that took too long.,5
1385,Because Madison found a short enough path to the goal.,6
1385,Riley succeeded by finding a short enough path to reach the star within the allotted time.,7
1385,Because they waited and Cedar did move the block to clear the shorter path.,8
1385,Because he went on the shortest and most direct path to the goal.,9
1385,Because Bryce helped by clearing the block out of Sloan's selected path.,10
1385,Max didn't wait to see if London would move the block in a way that would provide a shorter path and instead went a direction that was too long.,11
1385,Brooklyn went too far down to attempt to reach the star rather than waiting to see if Grey would move the block creating a shorter path,12
1385,Chandler succeeded because he chose a short enough path and didn't wait for Quinn to clear out of his way.,13
1385,Angel chose to go in the wrong direction and a path that wasn't going to lead to success.,14
1385,Kirby didn't wait to see if Flynn would clear the path that provided a shorter route and so went a direction that was too long to succeed.,15
1385,Because Lake moved the block and cleared the shorter path that allowed Morgan to reach the star.,16
1385,River failed because Atlas moved the block to cut off the shorter path to the star,17
1385,Because Skyler didn't wait to see if Rory would block their path and found a route that allowed them to achieve the goal.,18
1385,Taylor picked a path that allowed them to reach the goal without waiting to see if Oakley would be a help or not.,19
1385,Addison failed because Sunny didn't clear the block and that wasted too many moves for Addison to recover and go a different path.,20
1385,Cat was able to succeed by getting through the shorter path before Kris was able to move the block in a way that might hinder them.,21
1385,Emery failed because he went down one row rather than just go straight around the wall.,22
1385,Because Harley moved the block into their path forcing them to take a longer route that didn't work.,23
1385,Because Presley chose a short enough path to reach the star in time.,24
1386,Because Noah took a lot of steps that were not necessary to get to the star.,1
1386,Because Cameron puled the box so that Ari could pass through to get to the star.,2
1386,"Whiney puled the box instead of pushed the box forward. If Whitney had pushed the box forward, Harper could have entered a path to the star more quickly.",3
1386,Because Jordan hindered Avery's path.,5
1386,Madison succeeded because she took the right steps before time run out.,6
1386,Riley's succeeded because he chose the right path to get to the star the quickest. Brook didn't contribute to Riley's success in this case at all.,7
1386,Because Cedar pulled the box for Hayden to path through to get to the star.,8
1386,Because Robin was able to go to the star without blockage in the path.,9
1386,Because Bryce pulled the box so that Sloan could get to the star.,10
1386,Because London was in the way when Max wanted to go down to get to the star. London ended up taking a longer route to get to the star.,11
1386,Both Brooklyn and Grey took moves that weren't smart. ,12
1386,Chandler succeeded because Chandler took the right path to get to the star despite Quinn was preventing Chandler from reaching the star more quickly.,13
1386,Because Kirby didn't wait for Flynn to move the box so that she could get to the star more quickly.,15
1386,Because Lake moved the box for Morgan to pass through to get to the star on time.,16
1386,"Because Atlas hindered River's path to the star. If Atlas had pulled the box instead, River could've easily reached the star on time.",17
1386,Skyler succeeded despite taking a longer route.,18
1386,Taylor succeeded because there was no box to block his way to the star.,19
1386,Because Sunny failed to move the box for Addison. Addison could have reached the star faster if Sunny moved the box when Addison needed to pass through to get to the star.,20
1386,Cat's success has nothing to do with Kris. Cat was able to reach the star on time because there was no box in her way to the star.,21
1386,Because Emery took an extra step in a wrong direction.,22
1386,"Because Harley hindered Indigo's path to the star, which resulted in Indigo taking a longer route.",23
1386,Presley succeeded because Presley took the right path to the star. Sasha didn't help Presley at all.,24
1387,Noah turned around and went back when he got in front of the black box. Alex pulled the black box after he started going in the other direction. Noah tried to go back again but did not make it in time.,1
1387,Cameron pulled the black box out of Ari's way when there were 5 moves left.,2
1387,Harper did not wait for Whitney to pull the box out of the way and went a longer path.,3
1387,Logan succeeded because Hunter moved the black box between the two walls and provided a shortcut. ,4
1387,Avery did not reach the star in enough time because Jordan pushed the black square in front of the opening between the walls. She could not reach it in enough time going the other way.,5
1387,Madison succeeded because she went straight for the star and did not wait for Darcy.,6
1387,Hayden succeeded because Cedar moved the black box out of the way and prevented him from going a long path around the wall to the star.,8
1387,Robin succeeded because nothing blocked her path and Blake did not push the box in front of the star.,9
1387,Sloan succeeded because Bryce pulled the black box out of her way instead of making her go around.,10
1387,Max did not take the path where London moves the box out of the way and makes a shortcut.,11
1387,Brooklyn took a longer path instead of going the shorter way by Grey.,12
1387,"Angel used some of her time going forward, then backwards in the beginning of the game. She did not make it to the star in time.",14
1387,Kirby failed because he went around the wall and did not wait for Flynn to move the box.,15
1387,Morgan succeeded because Lake moved the black box and Morgan did not have to go around the wall.,16
1387,River went in front of the box and Atlas did not move it so they had to go around the wall.,17
1387,Skyler succeeded because she went around and did not go the path where Rory pushes the box between the walls.,18
1387,Taylor went directly to the star by going around the wall instead of waiting for Oakley.,19
1387,Emery went down then back up and around the wall. She did not reach the star in enough time.,22
1387,Harley pushed the black box in front of the two walls and Indigo had to go around.,23
1387,Presley went straight to the star and did not get blocked by Sasha pushing the box in front of the walls.,24
1388,Noah wasted a lot of moves.,1
1388,Cameron moved the box.,2
1388,Hunter moved the block.,4
1388,Jordan blocked them.,5
1388,Darcy didn't block them.,6
1388,He walked to the star.,7
1388,Because Cedar moved the box for them.,8
1388,Because they walked to the star.,9
1388,Bryce moved the box.,10
1388,Because he was just bumbling around like an idiot.,11
1388,Brooklyn wasted moves.,12
1388,Somehow outmanouvered Quinn.,13
1388,They went the complete opposite way.,14
1388,Because they tried to go the long way for some reason.,15
1388,Lake helped,16
1388,Atlas blocked the way.,17
1388,Because they didn't trust Rory.,18
1388,They walked to the star.,19
1388,Sunny didn't help them.,20
1388,Because Kris didn't block them.,21
1388,Emery wasted moves.,22
1388,Harley blocked them.,23
1388,Because Sasha moved out of the way.,24
1390,Noah used too many unnecessary moves and time ran out.,1
1390,Cameron moved the box that was blocking the path.,2
1390,Harper did not take the path that was unblocked by Whitney.,3
1390,Hunter pulled the box down that was blocking the direct path.,4
1390,Jordan blocked the most direct path with the box.,5
1390,Madison took the most direct route ,6
1390,"Riley went around Brook, not waiting for them to move the box.",7
1390,Cedar moved the box that was blocking the path.,8
1390,Robin took the most direct route. ,9
1390,Bryce pulled the box down out of the way.,10
1390,Max took unnecessary turns and ran out of moves.,11
1390,Brooklyn did not take the most direct path and ran out of moves.,12
1390,Chandler moved around the box that Quinn pushed.,13
1390,Angel did not take the most direct path and ran out of moves.,14
1390,Kirby did not take the path that was unblocked by Flynn and ran out of moves.,15
1390,Lake moved the box that was blocking the path.,16
1390,Atlas blocked the shorted path with the box.,17
1390,Skyler ignored the path that could be blocked.,18
1390,Taylor took the most direct route.,19
1390,"Sunny grabbed the box but let go, leaving the path blocked and Addison ran out of moves going the other way.",20
1390,Cat took the most direct path.,21
1390,Emery started down the wrong path and ran out of moves.,22
1390,"Harley moved the box to block Indigo's path, Indigo ran out of moves.",23
1391,Alex did not move the box in enough time for noah to get through ,1
1391,Cameron moved the box out of Ari's way allowing them to get to the star,2
1391,Hunter moved the box out of logans way ,4
1391,Jordan blocked avery,5
1391,They took a different route then Darcy,6
1391,brook was in their way but they had an alternative route,7
1391,Cedar helped them,8
1391,Blake did not even attempt to block Robin,9
1391,bryce took the box out the way ,10
1391,They ran out of time,12
1391,they went completely around quinn,13
1391,They took the long way ,14
1391,they took the long way and didnt get there in time,15
1391,lake helped them by moving the box,16
1391,Atlas blocked them ,17
1391,Rory blocked one route to the star but not the other,18
1391,They avoided oakley,19
1391,Sunny chose not to move the box,20
1391,Kris did not block cat,21
1391,They switched directions and didnt make it,22
1391,Harley blocked the easier route,23
1391,they avoided sasha completely ,24
1392,no time,1
1392,cameron moved box,2
1392,not enough time,3
1392,hunter moved box,4
1392,blocked by box,5
1392,darcy moved the box the wrong way,6
1392,made to star,7
1392,cedar moved the box,8
1392,made it to the star,9
1392,no time,11
1392,no time,12
1392,made to star,13
1392,not enough time,14
1392,not enough turns,15
1392,made to box,16
1392,didn't move in time,17
1392,skyler made it to star,18
1392,made to star,19
1392,no time,20
1392,made to star,21
1392,ran out of time,22
1392,not enough turns left,23
1392,she made it to the star,24
1393,Because he didn't know the box would be moved,1
1393,Because the box was moved out of the way,2
1393,Because they went around when they should have gone through the opening,3
1393,Because the box was moved out of the way,4
1393,"Because the box was moved in the way
",5
1393,Because she went around where the box would be moved,6
1393,Because they were just able to make it in time,7
1393,Because the box was moved out of the way,8
1393,Because the box wasn't moved in their way,9
1393,Because the box was moved out of the way,10
1393,Because Max went the long way around,11
1393,She just didn't reach the star in time,12
1393,Because the box was moved out of the way,13
1393,Because they went around the long way,14
1393,Because they didn't go through the opening that was made,15
1393,Because the box was moved out of the way,16
1393,Because the box was moved to be in the way,17
1393,Because they went around where the box would be moved,18
1393,Because they went around the box,19
1393,Because the box wasn't moved out of the way,20
1393,Because the box wasn't in the way,21
1393,Because they went back one step,22
1393,Because Harley moved the box in front of the entrance,23
1393,Because Sasha moved out of the way,24
1395,They didn't reach the star in the amount of time allotted ,1
1395,Blue moved the block and helped them reach the star in time,2
1395,They made extra moves and ran out of time,3
1395,"Blue moved the box to make it easier, then they reached the star in time",4
1395,Blue blocked them and they ran out of time,5
1395,"They reached the star in time on their own without blue help
",6
1395,They reached the star in time,7
1395,Blue moved the block so they could reach the star in time,8
1395,They reached the star on their own in time,9
1395,Blue moved the box and they reached the star in time,10
1395,They ran out of time and didn't reach the star,11
1395,They made extra moves on their own and ran out of time and didn't reach the star,12
1395,They got to the star in time and despite the box in the way,13
1395,They made extra moves and ran out of time and didn't reach the star,14
1395,They ran out of time and didn't reach the star,15
1395,Blue moved the block and made it easier for red to reach the star in time,16
1395,Blue blocked the path with the block,17
1395,They navigated around blue's block and reached the star in time,18
1395,They reached the star in time on their own,19
1395,Blue did not move the block so they couldn't reach the star in time,20
1395,They didn't get blocked by blue and they reached the star in time,21
1395,They used extra moves and ran out of time and didn't reach the star,22
1395,They ran out of time and didn't reach the star,23
1395,They made it to the star within the allotted time,24
1396,"Because Noah ""backtracked"" too much and wasted time.",1
1396,Because Cameron moved the box out of the way.,2
1396,Harper's best path was blocked by Whitney and failed as a result.,3
1396,Hunter moved the block that was in the way of the direct path to the star.,4
1396,Because Jordan used the box to block the path to the star.,5
1396,Madison had a fairly direct path to the star and Darcy didn't get in the way.,6
1396,There was a path available and Brook didn't block Riley.,7
1396,Because Cedar moved the box that was in the way of the path to the star.,8
1396,Robin had a direct path and Blake chose to not block it with the box.,9
1396,Bryce chose to not block Sloan's path with the box.,10
1396,"Max was blocked by London and the ""backtracking"" made it impossible to get to the star in time.",11
1396,"The star was effectively too far away. There realistically wasn't enough turns to make it there in time even though the path was open. If Grey didn't initially get in the way it might have been just barely possible, assuming he pulled the box out of the way.",12
1396,Because Chandler was able to move around Quinn in time to get to the star. Quinn seemingly tried to use the box to block Chandler but it was not a successful attempt at blocking Chandler ultimately.,13
1396,"Angel took a bad route essentially. Angel also backtracked, wasting time.",14
1396,"Kirby took a path that was too long and didn't get there in time, even though Flynn moved the block for Kirby.",15
1396,"Because Lake moved the box out of the way, giving Morgan a direct path to the star.",16
1396,Because Atlas used the box to block River's best path to the star.,17
1396,Skyler had a direct path to the star where Rory couldn't really easily affect him.,18
1396,Because Taylor had a direct path to the star and Oakley was unable to interfere.,19
1396,Because Sunny decided to not move the box.,20
1396,Because Kris chose to not use the box to block Cat.,21
1396,"Emery had a clear path but backtracked for a second for whatever reason. Ultimately he was ""off by one"" and failed.",22
1396,"Harley used the block to lengthen Indigo's path, making it too long to reach the star in time.",23
1396,Presley had a direct path and Sasha didn't disrupt Presley by getting in the way.,24
1397,Noah failed because he did not wait for Alex to move the box out of the way for him. He didn't trust Alex and tried to finish on his own.,1
1397,Ari succeeded because Cameron moved the box out of Ari's way so that Ari could get to the star in time.,2
1397,"Harper failed because she did not want to work with Whitney and tried to go the longer route without any help, which was too long to get to the star in time.",3
1397,"Logan succeeded because he trusted that Hunter would move the box for him to get to the star the quickest, and Hunter did just that.",4
1397,Avery failed because Jordan blocked her from passing through the first doorway and then blocked her again by moving the box in front of the next doorway.,5
1397,Madison succeeded because she took the most direct route and because Darcy got out of her way to allow her to get through.,6
1397,"Riley succeeded because she got lucky that the star was not too far away, since she had to waste a turn backing up so that Brook could move the box. Riley must not have thought about working with Brook to get to the star taking that route.",7
1397,Hayden succeeded because Cedar moved the box that was in the way of Hayden's most direct route to the star.,8
1397,Robin succeeded because she chose not to take the route that would cause her to rely on Blake to move the box for her. Robin took the route that she knew would be clear to the star.,9
1397,Sloan succeeded because she trusted Bryce to move the box out of her way and he did.,10
1397,"Max failed because London kept getting in the way of where Max's next move needed to be. Since Max could not go through London, Max had to waste turns just to backwards to try and get around London.",11
1397,Brooklyn failed because she took the longer route in order to not have to rely on Grey to move the box out of her way.,12
1397,"Chandler succeeded because he took the safest, most direct route to the star and did not have to rely on Quinn.",13
1397,"Angel failed because she did not trust that Sage would not try to block her if she took the most direct route, so she took a much longer route to stay away from Sage and did not make it to the star in time.",14
1397,"Kirby failed because she did not trust that Flynn would move the box if she took the quicker route that was blocked by the box. Kirby decided to take the route that was not blocked, but used too many turns taking that longer route and couldn't get to the star.",15
1397,"Morgan succeeded because she trusted Lake to move the box so she could take the quicker route to the star, and Lake moved the box for her.",16
1397,River failed because Atlas blocked the quickest route to the star with the block and the other route that River took was too long to make it to the star in time.,17
1397,"Skyler succeeded because she took Rory skipping a turn as a sign that he was not trustworthy enough to not push the box into her way, so she took the route that went around Rory, where he could not do anything to sabotage her getting to the star.",18
1397,"Taylor succeeded because she knew that one route would cause her to rely on Oakley to move the box and the other route would be guaranteed clear, and she chose the clear route.",19
1397,"Addison failed because Sunny tricked her into thinking she was going to move the box to help her, but once Addison was stuck on that side of the wall, Sunny left the box where it was.",20
1397,Cat succeeded because she got through the route too quickly for Kris to block her with the box.,21
1397,"Emery failed because she made the mistake of taking a chance with the route closest to Phoenix where Phoenix could block her and then tried to go back and take the other route, but did not have enough turns left.",22
1397,"Indigo failed because Harley blocked their route to the star, forcing Indigo to take a different, longer route and not making it in time.",23
1397,"Presley succeeded because she did not trust that Sasha would not try to block her if she took the first route, so she went directly through the route that went around Sasha and made it to the star.",24
1398,"Noah was indecisive and impatient, which caused them to run out of turns, even though Alex tried to help.",1
1398,Cameron helped by moving the block out of Ari's way.,2
1398,"They were too impatient and didn't wait for Whitney to unblock their best path, so it took too long.",3
1398,Hunter helped by moving the block out of Logan's path.,4
1398,Jordan blocked Avery's path and prevented Avery from reaching their goal.,5
1398,Madison chose a smart and efficient route to reach the star.,6
1398,They chose a fairly smart route that allowed them to reach the star at just the right time.,7
1398,Cedar helped by pulling the block out of Hayden's route.,8
1398,They chose a good route to reach the star efficiently.,9
1398,Bryce helped by moving the block out of Sloan way.,10
1398,Max chose a bad path to reach the star.,11
1398,"They chose a poor route to get to the star, so it took too long.",12
1398,They chose a smart route to reach the star and decided wisely when obstacles laid in their path.,13
1398,They chose a poor route that didn't allow them to reach the start in time.,14
1398,"They chose a bad route to reach the star, so they took too long.",15
1398,Lake helped by pulling the block out of Morgan's path.,16
1398,"Atlas moves the block into River's path, thus preventing River from reach the star.",17
1398,They navigated the field correctly in order to reach the star without hindrance.,18
1398,They chose a smart route to reach the star.,19
1398,Sunny wouldn't move the block away.,20
1398,They chose a smart path to reach the star.,21
1398,They chose a bad route that didn't allow them to reach the star in time.,22
1398,"Harley moved the block into Indigo's path, which prevented them from continuing.",23
1398,They chose a smart route to reach the start in time.,24
1400,Noah became impatient and tried going around instead of waiting,1
1400,Cameron moved the block for them,2
1400,Whitney got in the way while trying to help,3
1400,Hunter moved the block,4
1400,Darcy moved the block,6
1400,They reached the star,7
1400,Cedar moved the block,8
1400,They reached the star,9
1400,They reached the star,10
1400,"They seemed inpatient or were blocked by London , they should have communicated what they were each trying to do ",11
1400,They went the wrong way,12
1400,They reached the star,13
1400,They went the wrong/long way,14
1400,They went the wrong way,15
1400,Lake moved the block for them,16
1400,They were blocked by Atlas ,17
1400,They reached the star,18
1400,They reached the star,19
1400,They went the wrong way,20
1400,They reached the star,21
1400,They went backwards,22
1400,They were blocked by Harley with the box and had to go around and ran out moves,23
1400,They reached the star,24
1401,Noah made several missteps that caused him to backtrack on his path and lose time.,1
1401,Cameron removed the box blocking his path.,2
1401,Harper chose a longer path and it took too long.,3
1401,Hunter moved the box that was in his way.,4
1401,Jordan blocked the quickest path with a box.,5
1401,Madison succeeded because she  moved to the star in the correct amount of steps.,6
1401,Riley succeeded because she  moved to the star in the correct amount of steps.,7
1401,Because Cedar helped move the box blocking his path.,8
1401,Robin succeeded because she  moved to the star in the correct amount of steps.,9
1401,Bryce moved the box out of the way of the correct path.,10
1401,He could not make enough steps in enough time as the distance was too large to cover.,11
1401,Brooklyn could not make the time because she chose a longer route.,12
1401,Chandler succeeded because she  moved to the star in the correct amount of steps.,13
1401,Angel chose a longer path and it took too long.,14
1401,Kirby chose a longer path and it took too long.,15
1401,Because Lake moved the box out of the way.,16
1401,Atlas used a box to block the quickest path.,17
1401,Skyler chose the most efficient route possible while avoiding potential blocks from Rory.,18
1401,Taylor succeeded because she  moved to the star in the correct amount of steps.,19
1401,Because Sunny blocked her path with the box.,20
1401,Cat chose the quickest path to make it in time.,21
1401,She took a wrong step early on that cost her time.,22
1401,Harley blocked the quickest path with the box.,23
1401,Presley succeeded because she  moved to the star in the correct amount of steps.,24
1403,"Alex blocked a path, so Noah ran out of time.",1
1403,Cameron pulled the box out of the way of the shortest path.,2
1403,Whitney left the box in the way of the shortest path and then moved to block a square.,3
1403,Hunter moved the box out of the way of the shortest path.,4
1403,Jordan blocked the shortest paths.,5
1403,Darcy didn't effectively block Madison.,6
