workerid,age,ethnicity,feedback,gender,race,time
1231,69,Non-Hispanic,"I paid attention to not only what the blue player did to help, but also what they actively did NOT do, but could have, to thwart the red player.  So even though the blue player might not have done much in a given game, the fact that they did not get in the way or cause more trouble than they did or could have, counts, in my mind, for help toward success",Female,White,1144998
1199,27,Non-Hispanic,I looked at whether or not the blue player moved in a way that made it impossible for the red player to reach the star. I also considered whether or not the red player would have been able to reach the star without any interference from the blue player. ,Female,Multiracial,1050165
1197,25,Non-Hispanic,depends on what the blue one did,Female,Asian,308842
1227,21,Non-Hispanic,I considered whether red is able to reach the star without blue moving at all. I think in one case blue appeared to help but red made the wrong moves.,Male,Asian,903733
1235,28,Non-Hispanic,no,Male,White,350495
1234,29,Non-Hispanic,I just went with my gut as to if I felt they helped or not.,Female,White,536851
1245,34,Non-Hispanic,If the blue player put the box in the way then I marked them as making the other person fail. If they helped the red player and the red player chose that path then I marked them as helping with the success.,Female,White,496692
1249,23,Non-Hispanic,,Female,White,295233
1220,21,Non-Hispanic,"Whether red could get there without blue, whether blue helped or hurt, whether red moved efficiently",Male,White,544118
1246,64,Non-Hispanic,whether the red could have made it with no help,Male,White,926274
1225,32,Non-Hispanic,"I based my decision on if the red player would've been able to succeed/fail without the blue involvement. So if blue not moving a box/moving a box into the red players way made them fail then I think blue was responsible, the same if they moved a box out of the way and helped them succeed. If red would be able to succeed or would've failed without blue's actions then I don't think blue was responsible as much",Female,White,469565
1215,36,Non-Hispanic,How much the blue ball helped the red ball,Female,White,758910
1212,45,Non-Hispanic,I tried to factor whether the red player could reach the star without the blue player's interactions. I also factored in if the red player got there faster or slower than if the blue player did nothing.,Male,White,631612
1196,34,Non-Hispanic,Whether the red player would've won or lost with it without interference of blue,Male,White,745306
1229,24,Non-Hispanic,"I feel like it was pretty obvious when blue prevented red from winning deliberately, but there were a few situations where it was ambiguous whether they helped or if them doing stuff was redundant. If I felt they were redundant I gave them a low score because red would have succeeded even if they didn't move at all.",Male,White,720232
1241,54,Non-Hispanic,I went with my gut feeling.,Male,White,571973
1240,32,Non-Hispanic,"The primary factors included whether or not blue intentionally sabotaged red (via action or inaction), and whether red played optimally. ",Male,White,811772
1208,35,Non-Hispanic,I tried to factor in how much Blue mattered in the result and how what blue did affected red,Male,White,398405
1198,45,Non-Hispanic,"If they blue one purposely blocked red, I gave it 100% responsibility",Female,White,654234
1217,31,Non-Hispanic,this was fun. i was rooting for blue,Male,White,535833
1219,26,Non-Hispanic,,Male,White,395486
1221,24,Non-Hispanic,Determining the variety of griefing the blue player was doing as they hinder more time to be wasted and if it actually cleared an easier path to take to get to the star.,Non-binary,Asian,754361
1247,34,Non-Hispanic,"There were two main factors. One was if the red could get to the star at all regardless of what blue did, the other was whether or not blue's action increased or decreased the number of required steps (or not at all) to succeed.",Male,White,529936
1206,25,Non-Hispanic,The biggest factor was whether or not the red had alternatives and what the action of blue truly did (regardless of maliciousness or helpfulness of the purpose),Male,White,516743
1242,36,Non-Hispanic,I factored if the red player could've succeeded with or without the blue player,Female,Asian,872463
1210,29,Non-Hispanic,on what happened in the clips,Male,White,389386
1203,22,Non-Hispanic,whether or not the red player could've made it on their own.,Female,White,434524
1224,26,Non-Hispanic,whether success was possible regardless of the blue helping or hindering ,Female,White,633886
1200,52,Non-Hispanic,How active a role blue played.,Female,White,951353
1201,68,Non-Hispanic,Counting,Male,White,616992
1205,43,Non-Hispanic,I was watching to see if what blue did had any impact on red.,Male,White,479037
1238,40,Non-Hispanic,The decisions and movement of the players is what determined how I responded.,Male,White,461444
