workerid,cf,trial
1112,100,23
1112,100,8
1112,0,7
1112,0,17
1112,0,18
1112,0,19
1112,100,13
1112,100,16
1112,100,22
1112,100,15
1112,100,20
1112,100,6
1112,0,10
1102,100,5
1102,0,17
1102,99,4
1102,99,24
1102,33,2
1102,0,8
1102,99,21
1102,99,14
1102,99,6
1102,99,12
1102,1,3
1102,0,1
1102,99,20
1102,99,11
1102,99,13
1102,1,9
1102,99,7
1102,99,16
1102,99,19
1102,99,15
1102,99,22
1102,99,23
1102,1,10
1102,1,18
1115,91,2
1115,88,5
1115,89,14
1115,92,11
1115,93,23
1115,61,10
1115,30,18
1115,79,21
1115,70,22
1115,76,15
1115,28,8
1115,30,19
1115,84,13
1115,91,6
1115,19,20
1115,85,12
1115,87,1
1115,86,7
1115,9,9
1115,86,4
1115,47,16
1115,87,24
1115,28,3
1115,16,17
1135,49,
1135,0,18
1135,1,17
1135,99,10
1135,2,8
1135,99,11
1135,1,23
1135,100,15
1135,100,22
1135,100,6
1135,99,21
1135,98,4
1135,99,2
1135,100,14
1135,100,13
1135,0,1
1135,100,20
1135,1,3
1135,99,16
1135,0,9
1135,98,24
1135,100,7
1135,98,5
1135,99,12
1106,8,
1106,8,
1106,4,
1106,5,
1106,97,12
1106,100,4
1106,100,19
1106,98,13
1106,98,15
1106,96,7
1106,98,14
1106,100,8
1106,100,18
1106,78,20
1106,87,21
1106,0,9
1106,4,17
1106,90,2
1106,100,5
1106,97,11
1106,8,16
1106,97,22
1106,98,6
1106,1,10
1107,0,
1107,0,
1107,0,3
1107,0,9
1107,100,23
1107,100,13
1107,100,20
1107,100,19
1107,99,11
1107,100,4
1107,100,5
1107,0,17
1107,100,15
1107,100,21
1107,100,14
1107,100,24
1107,0,10
1107,100,12
1107,100,6
1107,100,7
1107,0,2
1107,100,16
1107,100,22
1107,0,8
1133,2,
1133,89,22
1133,100,12
1133,3,10
1133,94,7
1133,85,5
1133,5,19
1133,91,15
1133,7,3
1133,58,1
1133,8,18
1133,100,6
1133,99,21
1133,69,20
1133,93,14
1133,87,23
1133,1,17
1133,10,8
1133,6,2
1133,18,16
1133,85,13
1133,98,11
1133,0,9
1133,95,4
1116,90,4
1116,2,9
1116,96,5
1116,98,14
1116,50,15
1116,1,1
1116,2,10
1116,88,6
1116,10,17
1116,5,16
1116,98,21
1116,7,20
1116,25,22
1116,16,18
1116,4,8
1116,98,24
1116,98,13
1116,4,3
1116,97,23
1116,94,7
1116,16,19
1116,19,2
1116,97,12
1116,98,11
1118,0,3
1118,0,8
1118,17,2
1118,100,15
1118,100,24
1118,95,4
1118,100,11
1118,0,18
1118,98,7
1118,0,10
1118,100,13
1118,87,19
1118,93,5
1118,97,22
1118,100,6
1118,0,17
1118,100,12
1118,96,16
1118,0,1
1118,95,20
1118,0,9
1118,100,21
1118,100,23
1118,100,14
1122,0,
1122,100,11
1122,100,4
1122,100,20
1122,0,10
1122,100,6
1122,0,8
1122,0,2
1122,100,14
1122,100,19
1122,42,1
1122,100,13
1122,100,23
1122,100,5
1122,0,17
1122,0,3
1122,100,15
1122,100,22
1122,0,9
1122,0,18
1122,100,12
1122,100,24
1122,100,21
1122,100,7
1113,1,
1113,0,
1113,99,24
1113,1,10
1113,99,7
1113,1,22
1113,100,14
1113,100,1
1113,1,3
1113,99,15
1113,99,5
1113,30,2
1113,99,23
1113,99,4
1113,99,21
1113,99,11
1113,99,13
1113,2,20
1113,0,16
1113,78,19
1113,99,6
1113,5,9
1113,97,8
1113,1,17
1093,4,
1093,94,5
1093,100,15
1093,46,22
1093,99,11
1093,3,17
1093,100,14
1093,0,16
1093,83,20
1093,100,4
1093,100,21
1093,100,24
1093,1,1
1093,0,8
1093,2,9
1093,100,12
1093,0,10
1093,99,13
1093,1,2
1093,1,18
1093,98,7
1093,99,23
1093,2,3
1093,100,6
1119,99,5
1119,100,6
1119,0,9
1119,57,16
1119,100,7
1119,0,20
1119,100,14
1119,0,19
1119,0,3
1119,61,15
1119,100,21
1119,100,23
1119,0,1
1119,0,8
1119,0,22
1119,100,11
1119,100,13
1119,100,24
1119,100,12
1119,0,18
1119,0,2
1119,0,10
1119,0,17
1119,100,4
1105,0,
1105,0,
1105,0,
1105,0,
1105,0,9
1105,100,20
1105,100,23
1105,100,24
1105,100,15
1105,100,14
1105,100,5
1105,100,7
1105,100,4
1105,100,11
1105,0,3
1105,100,13
1105,0,8
1105,100,19
1105,100,16
1105,0,1
1105,0,17
1105,0,2
1105,100,6
1105,100,21
1129,1,
1129,2,
1129,21,15
1129,2,17
1129,0,8
1129,98,21
1129,40,22
1129,98,11
1129,97,7
1129,4,2
1129,2,3
1129,98,4
1129,98,14
1129,3,1
1129,62,16
1129,2,10
1129,99,6
1129,68,18
1129,71,20
1129,98,12
1129,98,23
1129,2,9
1129,98,13
1129,98,24
1126,13,20
1126,100,7
1126,100,13
1126,84,15
1126,15,5
1126,4,10
1126,0,18
1126,0,9
1126,2,2
1126,99,12
1126,78,4
1126,6,1
1126,100,23
1126,0,21
1126,100,11
1126,22,19
1126,100,6
1126,70,16
1126,16,22
1126,100,24
1126,0,17
1126,3,8
1126,0,3
1126,98,14
1139,3,
1139,0,
1139,100,14
1139,6,16
1139,100,5
1139,8,21
1139,94,23
1139,96,24
1139,92,11
1139,4,10
1139,29,3
1139,91,4
1139,96,12
1139,5,8
1139,7,22
1139,7,18
1139,91,15
1139,99,6
1139,97,1
1139,5,19
1139,4,17
1139,10,2
1139,5,9
1139,97,20
1097,100,11
1097,0,17
1097,0,2
1097,0,10
1097,100,20
1097,100,5
1097,100,19
1097,0,8
1097,100,13
1097,100,21
1097,100,15
1097,100,16
1097,100,7
1097,100,12
1097,100,23
1097,100,24
1097,0,1
1097,0,9
1097,100,4
1097,100,6
1097,0,3
1097,0,18
1097,100,14
1097,100,22
1128,100,
1128,7,15
1128,7,3
1128,9,24
1128,97,14
1128,92,1
1128,13,21
1128,89,12
1128,100,6
1128,13,2
1128,14,13
1128,12,19
1128,12,22
1128,33,18
1128,75,23
1128,22,9
1128,16,10
1128,82,11
1128,20,20
1128,18,17
1128,89,4
1128,16,8
1128,79,5
1128,76,7
1131,30,
1131,92,14
1131,100,24
1131,95,6
1131,78,13
1131,25,3
1131,6,18
1131,92,15
1131,70,22
1131,86,12
1131,8,17
1131,87,20
1131,39,8
1131,13,10
1131,3,1
1131,47,5
1131,39,2
1131,65,7
1131,78,19
1131,5,9
1131,79,23
1131,91,11
1131,66,16
1131,95,21
1096,0,
1096,0,17
1096,99,21
1096,0,1
1096,34,20
1096,95,16
1096,100,24
1096,98,4
1096,0,3
1096,100,12
1096,100,5
1096,87,19
1096,100,14
1096,97,11
1096,0,10
1096,100,23
1096,99,15
1096,100,6
1096,100,13
1096,0,8
1096,0,2
1096,99,22
1096,98,7
1096,1,9
1111,98,7
1111,50,19
1111,2,8
1111,98,11
1111,98,21
1111,75,16
1111,98,13
1111,3,9
1111,1,18
1111,98,23
1111,97,15
1111,2,1
1111,100,20
1111,98,5
1111,4,10
1111,3,2
1111,98,12
1111,2,17
1111,97,14
1111,2,3
1111,98,4
1111,97,24
1111,98,22
1111,97,6
1108,0,1
1108,100,7
1108,100,16
1108,0,17
1108,0,8
1108,0,10
1108,0,22
1108,100,21
1108,100,6
1108,100,4
1108,100,20
1108,0,3
1108,0,2
1108,100,12
1108,100,14
1108,100,5
1108,100,13
1108,0,18
1108,100,11
1108,100,23
1108,100,19
1108,0,9
1108,100,15
1108,100,24
1094,0,3
1094,0,17
1094,100,12
1094,100,11
1094,100,22
1094,0,18
1094,100,14
1094,100,24
1094,100,20
1094,100,7
1094,100,15
1094,100,6
1094,100,13
1094,0,8
1094,100,21
1094,0,1
1094,0,9
1094,100,5
1094,100,19
1094,100,16
1094,0,10
1094,100,23
1094,0,2
1094,100,4
1104,100,11
1104,0,18
1104,95,21
1104,99,12
1104,0,2
1104,100,7
1104,0,20
1104,100,24
1104,100,15
1104,100,5
1104,0,1
1104,100,16
1104,0,9
1104,100,19
1104,100,4
1104,0,8
1104,100,13
1104,100,6
1104,0,17
1104,0,10
1104,100,22
1104,100,23
1104,0,3
1104,100,14
1120,24,
1120,89,14
1120,88,23
1120,97,21
1120,81,11
1120,84,15
1120,35,19
1120,45,7
1120,54,22
1120,3,1
1120,0,17
1120,86,5
1120,84,12
1120,48,13
1120,99,6
1120,79,4
1120,0,9
1120,36,16
1120,73,8
1120,8,20
1120,72,18
1120,13,2
1120,100,24
1120,0,3
1136,93,12
1136,32,14
1136,9,10
1136,89,11
1136,29,2
1136,99,13
1136,21,5
1136,97,24
1136,97,6
1136,13,3
1136,95,4
1136,97,23
1136,7,19
1136,6,9
1136,8,20
1136,7,21
1136,98,16
1136,100,7
1136,35,18
1136,10,8
1136,3,17
1136,48,15
1136,9,22
1136,9,1
1095,31,
1095,0,
1095,1,
1095,98,23
1095,6,10
1095,22,22
1095,87,14
1095,97,21
1095,0,9
1095,1,3
1095,1,1
1095,97,13
1095,29,2
1095,95,12
1095,98,6
1095,97,24
1095,55,20
1095,75,15
1095,27,19
1095,58,5
1095,73,7
1095,2,17
1095,99,11
1095,66,8
1110,2,
1110,65,19
1110,95,7
1110,96,21
1110,99,13
1110,97,12
1110,3,20
1110,3,17
1110,1,1
1110,7,8
1110,97,11
1110,96,14
1110,96,15
1110,97,6
1110,4,2
1110,98,23
1110,98,4
1110,5,3
1110,98,16
1110,97,24
1110,4,10
1110,4,22
1110,1,9
1110,96,5
1098,17,
1098,82,20
1098,4,1
1098,98,11
1098,98,12
1098,1,17
1098,99,24
1098,50,16
1098,97,14
1098,29,10
1098,63,5
1098,98,7
1098,1,9
1098,80,4
1098,1,3
1098,85,15
1098,91,19
1098,98,6
1098,1,2
1098,2,8
1098,98,21
1098,86,22
1098,83,18
1098,99,13
1109,100,24
1109,100,7
1109,0,8
1109,0,17
1109,100,15
1109,100,13
1109,0,1
1109,100,19
1109,100,23
1109,0,18
1109,0,2
1109,100,16
1109,0,9
1109,100,20
1109,0,3
1109,100,14
1109,100,4
1109,100,11
1109,100,5
1109,0,10
1109,100,22
1109,100,6
1109,100,12
1109,99,21
1132,0,
1132,0,17
1132,0,3
1132,0,20
1132,100,15
1132,100,1
1132,90,5
1132,0,10
1132,100,23
1132,0,19
1132,69,21
1132,0,18
1132,100,4
1132,100,13
1132,0,7
1132,0,9
1132,16,8
1132,100,12
1132,100,14
1132,100,11
1132,0,16
1132,23,2
1132,94,22
1132,100,6
1092,2,
1092,3,
1092,1,
1092,0,
1092,1,
1092,1,
1092,75,22
1092,99,21
1092,0,20
1092,1,3
1092,100,7
1092,98,13
1092,87,16
1092,98,8
1092,97,11
1092,1,9
1092,99,12
1092,0,19
1092,9,2
1092,99,6
1092,99,23
1092,98,4
1092,99,5
1092,99,24
1099,0,
1099,99,24
1099,99,5
1099,61,16
1099,91,14
1099,9,10
1099,4,9
1099,57,8
1099,12,2
1099,22,20
1099,99,12
1099,76,22
1099,91,6
1099,73,4
1099,69,3
1099,51,19
1099,96,7
1099,98,13
1099,2,18
1099,8,17
1099,56,21
1099,65,15
1099,16,1
1099,99,23
1127,99,15
1127,99,12
1127,1,8
1127,1,17
1127,0,20
1127,0,19
1127,0,22
1127,99,6
1127,41,3
1127,26,5
1127,31,10
1127,72,24
1127,37,16
1127,99,14
1127,99,4
1127,2,9
1127,36,2
1127,31,1
1127,91,13
1127,82,11
1127,0,18
1127,0,21
1127,83,7
1127,73,23
1123,100,23
1123,0,17
1123,0,1
1123,100,16
1123,92,19
1123,100,6
1123,0,10
1123,100,14
1123,0,2
1123,99,22
1123,0,8
1123,100,5
1123,0,20
1123,0,9
1123,100,4
1123,100,21
1123,100,24
1123,1,3
1123,100,11
1123,100,15
1123,0,18
1123,100,12
1123,100,7
1123,100,13
1137,0,
1137,0,
1137,0,8
1137,0,10
1137,100,13
1137,100,11
1137,89,6
1137,100,24
1137,100,20
1137,100,7
1137,100,12
1137,100,15
1137,100,4
1137,36,1
1137,0,18
1137,0,3
1137,0,2
1137,54,16
1137,100,14
1137,100,22
1137,100,19
1137,100,23
1137,0,17
1137,100,21
1103,100,23
1103,100,4
1103,100,11
1103,100,21
1103,0,8
1103,0,10
1103,0,2
1103,0,18
1103,100,7
1103,0,17
1103,100,6
1103,100,19
1103,100,14
1103,100,12
1103,0,3
1103,0,9
1103,100,24
1103,100,5
1103,100,13
1103,100,20
1103,100,16
1103,100,15
1103,0,1
1103,100,22
1090,0,
1090,50,20
1090,8,2
1090,98,12
1090,49,19
1090,1,10
1090,83,16
1090,100,7
1090,100,11
1090,100,13
1090,99,23
1090,0,9
1090,99,24
1090,100,14
1090,0,18
1090,1,17
1090,100,4
1090,0,8
1090,1,1
1090,97,6
1090,100,5
1090,77,22
1090,99,15
1090,0,3
1130,0,19
1130,0,8
1130,100,9
1130,100,14
1130,100,15
1130,0,2
1130,0,10
1130,100,7
1130,100,21
1130,100,13
1130,100,6
1130,46,16
1130,100,12
1130,100,23
1130,100,22
1130,100,24
1130,100,3
1130,100,5
1130,0,17
1130,0,1
1130,100,11
1130,0,18
1130,100,4
1130,100,20
1121,0,18
1121,100,7
1121,0,2
1121,0,1
1121,100,15
1121,100,24
1121,100,22
1121,100,8
1121,100,11
1121,100,12
1121,0,9
1121,100,20
1121,100,4
1121,0,3
1121,100,13
1121,0,10
1121,100,5
1121,100,6
1121,100,21
1121,100,19
1121,0,17
1121,100,23
1121,100,16
1121,100,14
1134,26,
1134,57,
1134,50,
1134,86,7
1134,10,1
1134,82,15
1134,58,16
1134,82,4
1134,81,6
1134,90,5
1134,10,22
1134,15,10
1134,73,11
1134,4,3
1134,95,14
1134,9,18
1134,49,13
1134,27,12
1134,10,19
1134,9,21
1134,7,8
1134,11,2
1134,17,20
1134,14,24
1125,99,6
1125,100,2
1125,100,16
1125,3,10
1125,0,3
1125,99,14
1125,2,19
1125,1,8
1125,2,17
1125,2,12
1125,100,4
1125,0,18
1125,0,22
1125,99,7
1125,1,1
1125,98,15
1125,100,13
1125,99,11
1125,99,24
1125,1,20
1125,97,23
1125,0,9
1125,0,5
1125,99,21
